Name	Number of nodes	Number of undirected edges	Number of connected components	Nodes in prize
FlyBase/flybase-omicsintegrator1-params-2AYW54G/pathway.txt	35	34	1	34
FlyBase/flybase-omicsintegrator1-params-2L6QJ4L/pathway.txt	38	37	1	33
FlyBase/flybase-omicsintegrator1-params-2LLJLGW/pathway.txt	36	35	1	34
FlyBase/flybase-omicsintegrator1-params-2YYL4C5/pathway.txt	37	36	1	34
FlyBase/flybase-omicsintegrator1-params-3DDS2IS/pathway.txt	11	10	1	11
FlyBase/flybase-omicsintegrator1-params-3OESYVI/pathway.txt	46	45	1	34
FlyBase/flybase-omicsintegrator1-params-3THBCMO/pathway.txt	46	45	1	34
FlyBase/flybase-omicsintegrator1-params-3ZSARAV/pathway.txt	47	46	1	34
FlyBase/flybase-omicsintegrator1-params-44ZUJR7/pathway.txt	42	41	1	34
FlyBase/flybase-omicsintegrator1-params-46AOFYJ/pathway.txt	48	47	1	34
FlyBase/flybase-omicsintegrator1-params-4DZSZJ5/pathway.txt	36	35	1	34
FlyBase/flybase-omicsintegrator1-params-4I4P7JR/pathway.txt	48	47	1	34
FlyBase/flybase-omicsintegrator1-params-4UYBCJF/pathway.txt	46	45	1	34
FlyBase/flybase-omicsintegrator1-params-4VALVVS/pathway.txt	45	44	1	34
FlyBase/flybase-omicsintegrator1-params-4VPI2XC/pathway.txt	42	41	1	34
FlyBase/flybase-omicsintegrator1-params-4ZVYNYD/pathway.txt	42	41	1	34
FlyBase/flybase-omicsintegrator1-params-57LZ5DV/pathway.txt	47	46	1	34
FlyBase/flybase-omicsintegrator1-params-5HVZZ5F/pathway.txt	39	38	1	34
FlyBase/flybase-omicsintegrator1-params-5L6QXZ6/pathway.txt	39	38	1	34
FlyBase/flybase-omicsintegrator1-params-5MGMFZP/pathway.txt	36	35	1	34
FlyBase/flybase-omicsintegrator1-params-5Q4YIBB/pathway.txt	43	42	1	34
FlyBase/flybase-omicsintegrator1-params-5W77WVF/pathway.txt	39	38	1	34
FlyBase/flybase-omicsintegrator1-params-5WVMRS5/pathway.txt	37	36	1	34
FlyBase/flybase-omicsintegrator1-params-64SUAI7/pathway.txt	44	43	1	34
FlyBase/flybase-omicsintegrator1-params-6DKQOAI/pathway.txt	44	43	1	34
FlyBase/flybase-omicsintegrator1-params-6F7MKNZ/pathway.txt	42	41	1	34
FlyBase/flybase-omicsintegrator1-params-6HCMEBG/pathway.txt	36	35	1	34
