#node	degree	clustering	betweenness_centrality
14-3-3zeta	2	0	0.05
Trap1	3	0	0.49743589743589745
pip	1	0	0.0
Arf51F	1	0	0.0
siz	2	0	0.05
Arf79F	2	0	0.05
Pp1-87B	2	0	0.09743589743589744
Rab11	1	0	0.0
Arp3	1	0	0.0
Arpc1	2	0	0.05
WASp	5	0	0.3935897435897436
Ced-12	1	0	0.0
mbc	3	0	0.14487179487179488
Crk	2	0	0.05
blow	1	0	0.0
Fas2	5	0	0.6807692307692308
beta-Spec	2	0	0.05
hbs	3	0	0.5538461538461539
Hem	1	0	0.0
SCAR	2	0	0.05
Mbs	2	0	0.1423076923076923
Rho1	3	0	0.09871794871794871
flw	5	0	0.4641025641025641
Pak	1	0	0.0
Rac1	4	0	0.14615384615384616
Pak3	1	0	0.0
Rac2	1	0	0.0
Rok	1	0	0.0
dia	1	0	0.0
Sos	3	0	0.09871794871794871
drk	1	0	0.0
sls	1	0	0.0
Vrp1	2	0	0.38461538461538464
dock	2	0	0.40897435897435896
Whamy	1	0	0.0
alpha-Spec	1	0	0.0
sqh	1	0	0.0
kirre	3	0	0.14487179487179488
rols	1	0	0.0
sns	2	0	0.05
rst	1	0	0.0
