#node	degree	clustering	betweenness_centrality
Abi	3	0	0.197724039829303
Hem	2	0	0.10241820768136559
SCAR	1	0	0.0
WASp	4	0	0.5362731152204837
Arf51F	2	0	0.052631578947368425
Arfip	2	0	0.10241820768136559
siz	1	0	0.0
Arf79F	2	0	0.052631578947368425
Rab11	1	0	0.0
Rac1	10	0	0.7937411095305833
Arp3	2	0	0.052631578947368425
Arpc1	1	0	0.0
Ced-12	1	0	0.0
mbc	3	0	0.10384068278805121
Crk	3	0	0.197724039829303
Vrp1	2	0	0.23470839260312945
blow	1	0	0.0
Pak	1	0	0.0
Pak3	1	0	0.0
Rac2	1	0	0.0
Rok	2	0	0.10241820768136559
SkpA	2	0	0.10241820768136559
Whamy	1	0	0.0
alpha-Spec	3	0	0.3826458036984353
dia	1	0	0.0
Rho1	2	0	0.052631578947368425
sqh	1	0	0.0
wbl	2	0	0.052631578947368425
Sos	3	0	0.31721194879089615
drk	2	0	0.23470839260312945
sls	1	0	0.0
beta-Spec	1	0	0.0
dock	5	0	0.2019914651493599
hbs	1	0	0.0
kirre	1	0	0.0
rst	1	0	0.0
sns	1	0	0.0
rols	1	0	0.0
pip	1	0	0.0
