#node	degree	clustering	betweenness_centrality
Arf51F	2	0	0.05714285714285715
Arfip	2	0	0.11092436974789917
siz	1	0	0.0
Arf79F	2	0	0.05714285714285715
Hem	2	0	0.11092436974789917
Rab11	1	0	0.0
Rac1	6	0	0.48067226890756304
Arp3	2	0	0.05714285714285715
Arpc1	1	0	0.0
drk	4	0	0.5378151260504203
Ced-12	1	0	0.0
mbc	3	0	0.16470588235294117
Crk	3	0	0.25882352941176473
blow	1	0	0.0
SCAR	2	0	0.16134453781512606
Pak	2	0	0.44369747899159667
dock	5	0	0.73109243697479
Pak3	1	0	0.0
Rac2	1	0	0.0
Rok	2	0	0.16134453781512606
Whamy	1	0	0.0
Rho1	3	0	0.11260504201680673
dia	1	0	0.0
sqh	1	0	0.0
WASp	2	0	0.20840336134453782
Vrp1	1	0	0.0
alpha-Spec	2	0	0.11092436974789917
beta-Spec	2	0	0.16134453781512606
por	2	0	0.05714285714285715
sns	2	0	0.16134453781512606
hbs	2	0	0.05714285714285715
kirre	1	0	0.0
rst	2	0	0.11092436974789917
rols	2	0	0.05714285714285715
pip	1	0	0.0
sls	1	0	0.0
