#node	degree	clustering	betweenness_centrality
Arf51F	2	0	0.05714285714285715
Arfip	3	0	0.21512605042016808
siz	1	0	0.0
Arf79F	2	0	0.05714285714285715
Rab11	1	0	0.0
Rac1	8	0	0.7344537815126051
Arp3	2	0	0.05714285714285715
Arpc1	1	0	0.0
drk	2	0	0.11092436974789917
Ced-12	1	0	0.0
mbc	4	0	0.6201680672268908
Crk	3	0	0.21344537815126052
blow	1	0	0.0
Hem	1	0	0.0
SCAR	2	0	0.05714285714285715
Pak	2	0	0.11092436974789917
dock	2	0	0.05714285714285715
Pak3	1	0	0.0
Rac2	1	0	0.0
Rok	2	0	0.16134453781512606
WASp	2	0	0.11092436974789917
Whamy	1	0	0.0
Rho1	3	0	0.11260504201680673
dia	1	0	0.0
sqh	1	0	0.0
Vrp1	1	0	0.0
alpha-Spec	3	0	0.16470588235294117
beta-Spec	1	0	0.0
por	2	0	0.05714285714285715
rols	4	0	0.4336134453781513
hbs	1	0	0.0
kirre	3	0	0.16470588235294117
sns	2	0	0.05714285714285715
pip	1	0	0.0
sls	1	0	0.0
rst	1	0	0.0
