Name	Number of nodes	Number of undirected edges	Number of connected components	Nodes in prize
FlyBase/oi2/flybase-omicsintegrator2-params-2G7DE5P/pathway.txt	39	38	1	34
FlyBase/oi2/flybase-omicsintegrator2-params-2UVZMNM/pathway.txt	39	38	1	34
FlyBase/oi2/flybase-omicsintegrator2-params-3226LAN/pathway.txt	35	34	1	34
FlyBase/oi2/flybase-omicsintegrator2-params-3MLO245/pathway.txt	35	34	1	34
FlyBase/oi2/flybase-omicsintegrator2-params-43CVNIQ/pathway.txt	39	38	1	34
FlyBase/oi2/flybase-omicsintegrator2-params-4IDP4MD/pathway.txt	35	34	1	34
FlyBase/oi2/flybase-omicsintegrator2-params-4OY4QWJ/pathway.txt	35	34	1	34
FlyBase/oi2/flybase-omicsintegrator2-params-6LPF5ZK/pathway.txt	35	34	1	34
FlyBase/oi2/flybase-omicsintegrator2-params-75B6ZHQ/pathway.txt	35	34	1	34
FlyBase/oi2/flybase-omicsintegrator2-params-7PT26W3/pathway.txt	35	34	1	34
FlyBase/oi2/flybase-omicsintegrator2-params-ABUNWLW/pathway.txt	35	34	1	34
FlyBase/oi2/flybase-omicsintegrator2-params-C7IOBLY/pathway.txt	35	34	1	34
FlyBase/oi2/flybase-omicsintegrator2-params-COY4S7Z/pathway.txt	39	38	1	34
FlyBase/oi2/flybase-omicsintegrator2-params-EJ7I7LG/pathway.txt	35	34	1	34
FlyBase/oi2/flybase-omicsintegrator2-params-EPINYMF/pathway.txt	35	34	1	34
FlyBase/oi2/flybase-omicsintegrator2-params-EQKVL5E/pathway.txt	35	34	1	34
FlyBase/oi2/flybase-omicsintegrator2-params-FPMQMS3/pathway.txt	35	34	1	34
FlyBase/oi2/flybase-omicsintegrator2-params-GQCBBEN/pathway.txt	35	34	1	34
FlyBase/oi2/flybase-omicsintegrator2-params-GVVRANW/pathway.txt	35	34	1	34
FlyBase/oi2/flybase-omicsintegrator2-params-I7265XU/pathway.txt	35	34	1	34
FlyBase/oi2/flybase-omicsintegrator2-params-JS4BVYD/pathway.txt	35	34	1	34
FlyBase/oi2/flybase-omicsintegrator2-params-LUUXMCO/pathway.txt	35	34	1	34
FlyBase/oi2/flybase-omicsintegrator2-params-N62G3CB/pathway.txt	35	34	1	34
FlyBase/oi2/flybase-omicsintegrator2-params-NXEQMUS/pathway.txt	35	34	1	34
FlyBase/oi2/flybase-omicsintegrator2-params-P6QXY5R/pathway.txt	35	34	1	34
FlyBase/oi2/flybase-omicsintegrator2-params-PKZ5WR2/pathway.txt	39	38	1	34
FlyBase/oi2/flybase-omicsintegrator2-params-PY53EE3/pathway.txt	35	34	1	34
FlyBase/oi2/flybase-omicsintegrator2-params-QO5VGM3/pathway.txt	35	34	1	34
FlyBase/oi2/flybase-omicsintegrator2-params-R43SKFX/pathway.txt	35	34	1	34
FlyBase/oi2/flybase-omicsintegrator2-params-TRTIWFS/pathway.txt	30	29	1	29
FlyBase/oi2/flybase-omicsintegrator2-params-U6RSVPB/pathway.txt	35	34	1	34
FlyBase/oi2/flybase-omicsintegrator2-params-WH7G5LZ/pathway.txt	35	34	1	34
FlyBase/oi2/flybase-omicsintegrator2-params-WVZEES3/pathway.txt	35	34	1	34
FlyBase/oi2/flybase-omicsintegrator2-params-ZCSKWDB/pathway.txt	35	34	1	34
FlyBase/oi2/flybase-omicsintegrator2-params-ZUDLLAL/pathway.txt	39	38	1	34
