RunID	# of Nodes	Receptor Nodes	Prize Nodes
6O6CLXG	58	2	34
6VFMXX2	37	2	32
BOBCPQJ	36	2	32
DYRX2JD	37	2	32
EBWJECS	41	2	34
FKDYTNJ	36	2	32
FSK2BK4	44	2	34
H3XP2XU	36	2	32
I4XCM56	36	2	32
K7Q7TY7	41	2	34
N7UDXMA	41	2	34
NVBHFRC	58	2	34
NYELO6L	44	2	34
OO5XMGG	42	2	34
P7V35HF	36	2	32
PWHSGWA	40	2	33
R42QNGH	54	2	32
T5NGIG3	42	2	34
TEW3YOJ	42	2	34
UJDQFU5	42	2	34
VE7EYUT	41	2	34
XB3TEJ5	69	2	37
XNMYKVT	52	2	33
Z7LNT6J	48	2	37
2SCQ33A	43	1	37
3LGSVP2	34	1	31
4BCZU7N	35	1	32
66K6FH5	31	1	29
6HDNQK6	38	1	32
6OKZRSR	44	1	37
A5LUAG6	34	1	31
AQDP2GQ	29	1	28
BHE7CQC	40	1	34
C2DD4S2	37	1	33
CCVKV2X	38	1	33
DFOOGQH	27	1	26
FAZNHSO	38	1	33
FR53PGM	31	1	29
FTTZS3C	29	1	27
HU6XPVQ	36	1	31
IBEF7HG	29	1	28
JI7BGTX	40	1	34
LJ3LDMP	34	1	31
LK2SJZF	40	1	34
LUBXAS3	29	1	27
MDSU6LY	29	1	27
N2JCALR	34	1	31
O3FCBIU	29	1	27
OQWU5MV	27	1	26
OU3ANAO	40	1	34
PCUW7DT	34	1	31
Q7F2IFG	41	1	32
QQWAET5	44	1	37
QRXECXA	34	1	31
QWGYUWA	29	1	28
SOFNWGL	34	1	29
T2WOGJC	27	1	26
TZN53AJ	29	1	27
UAQ35PJ	27	1	26
WM3FE5H	29	1	27
WQELYWL	29	1	27
XBREK7I	43	1	29
XQL5GCP	29	1	28
Y3MKEO7	37	1	33
Y4VMOJF	27	1	26
YD2RNRQ	40	1	29
ZEKYHTM	44	1	37
ZR26PFB	31	1	29
526QX6L	34	0	34
5TFSVVR	28	0	28
7H5YTIX	42	0	37
D2AN633	34	0	34
EJ4RVEV	33	0	32
GMQIM4D	42	0	37
HGKEI2L	32	0	32
HJZLMHD	34	0	32
JTKQEJE	28	0	28
S67GJRQ	33	0	31
S7YDZEU	42	0	37
SQSTEIR	32	0	32
TJQKURZ	32	0	32
VA3OQDU	32	0	31
YPJZRGO	32	0	32
ZHTPY5C	42	0	37
