RunID	# of Nodes	Receptor Nodes	Prize Nodes
5Q4YIBB	43	2	34
ENSDRBT	43	2	34
IMLACS4	43	2	34
TNB5AS6	43	2	34
X2KVCJ7	43	2	34
3THBCMO	46	1	34
3ZSARAV	47	1	34
44ZUJR7	42	1	34
46AOFYJ	48	1	34
4DZSZJ5	36	1	34
4I4P7JR	48	1	34
4UYBCJF	46	1	34
4VALVVS	45	1	34
4VPI2XC	42	1	34
4ZVYNYD	42	1	34
57LZ5DV	47	1	34
5HVZZ5F	39	1	34
64SUAI7	44	1	34
6F7MKNZ	42	1	34
6IMJLUQ	40	1	34
7DWOKHU	45	1	34
7ORCHLV	36	1	34
B54XZ3O	45	1	34
CYX3TF3	43	1	34
DWYLPRT	45	1	34
E3BCEKH	44	1	34
E4PZZIO	40	1	34
EEF2DSD	38	1	34
EEKHOEP	44	1	34
F7DXOND	46	1	34
FHGEC2G	42	1	34
G4KBYSL	44	1	34
G7IDRRG	44	1	34
GIFMV5W	43	1	34
GSXQL7B	44	1	34
GZ7H2HN	38	1	34
HDT6MMI	38	1	34
HKUZZ3B	36	1	34
HSZHSXY	44	1	34
I4FGPC6	43	1	34
KGK5FHC	40	1	34
KTMV6FO	42	1	34
KYBHK3T	47	1	34
L6NTD3J	45	1	34
LBRU3LL	44	1	34
LPS3QBW	46	1	34
M2F6YQ4	40	1	34
MZVQZ4R	36	1	34
NYSTX7Y	43	1	34
NZKPAQA	42	1	34
O2AJRAG	40	1	34
OK7GSDW	47	1	34
PDPDFMI	40	1	34
QH4V6SA	36	1	34
QSYNOJD	46	1	34
QWEEK24	47	1	34
RKME56I	44	1	34
SAUNFEZ	43	1	34
T5BRRXK	39	1	34
T6TUPED	39	1	34
TDH4KGD	38	1	34
TYPZ4KB	45	1	34
VIWP75W	42	1	34
W6TZKDI	39	1	34
WJROPDC	46	1	34
XHN6O2D	39	1	34
YAQZK5N	42	1	34
YXGDNIV	45	1	34
Z7IIWJP	44	1	34
2AYW54G	35	0	34
2L6QJ4L	38	0	33
2LLJLGW	36	0	34
2YYL4C5	37	0	34
3DDS2IS	11	0	11
3OESYVI	46	0	34
5L6QXZ6	39	0	34
5MGMFZP	36	0	34
5W77WVF	39	0	34
5WVMRS5	37	0	34
6DKQOAI	44	0	34
6HCMEBG	36	0	34
6OZGM35	36	0	34
6PJNMKT	0	0	0
6RUCW2P	44	0	34
6UBPIQY	38	0	33
6W54EMS	0	0	0
7WW5KNN	0	0	0
BRP33JR	33	0	33
CELMQG4	36	0	34
CIWWMLQ	35	0	34
CV5XBEO	37	0	34
CVKDRXE	33	0	33
CXHFRZA	0	0	0
DFEUD5U	45	0	34
DOKA4TI	41	0	34
EGQBTBX	36	0	34
EU2YGAL	36	0	34
F2QQH4L	33	0	33
IJCXBMS	39	0	34
IQ4T566	39	0	34
IQY4WLK	37	0	34
IYSSMSS	36	0	34
J3CSWYT	36	0	34
J4XIQ4K	0	0	0
JTPPKJR	36	0	33
JZL4TW5	35	0	34
K2R3ZGD	36	0	33
KDYFEIM	38	0	34
KLQ6OEV	38	0	33
KMT5WTQ	36	0	34
KODELRP	36	0	33
LEAAOXQ	36	0	34
LSY55OW	36	0	34
LT62NAM	36	0	34
LWSA2JC	44	0	34
MLSEIZQ	36	0	34
MMK75GE	0	0	0
MRWNFHK	0	0	0
MVNAPPE	39	0	34
NUIWPQ4	38	0	33
NWG6TZW	33	0	33
O6WCQPR	33	0	33
OBS25RE	36	0	34
ODSZNYR	35	0	34
OQZNVD6	0	0	0
OTABBEH	0	0	0
OYADCS6	38	0	33
OZSP533	0	0	0
P7PTP3O	36	0	34
PHDC5H4	36	0	34
PMYXKXD	36	0	33
PTWMZG2	37	0	34
Q542CWB	36	0	33
QKUBSAV	44	0	34
QOOTWWF	37	0	34
REQ5TZS	23	0	22
RFWAUY7	35	0	34
SVTXP3B	11	0	11
TQXIVBM	44	0	34
TT5KJ4D	40	0	34
TXI25T6	0	0	0
UQO2OCB	23	0	22
URNDLIB	36	0	34
UV6PBIS	35	0	34
UVR5GTQ	37	0	34
V7IZFAY	39	0	34
WTZSQ7Q	35	0	34
XPBSPFQ	36	0	34
YZEVSQT	35	0	34
YZY2SCM	11	0	11
