RunID	# of Nodes	Receptor Nodes	Prize Nodes
XB3TEJ5	272	6	184
6O6CLXG	252	5	174
NVBHFRC	254	5	175
XNMYKVT	236	5	163
FSK2BK4	200	4	169
MDSU6LY	121	4	98
NYELO6L	198	4	168
R42QNGH	222	4	155
XBREK7I	176	4	123
66K6FH5	116	3	109
6VFMXX2	161	3	147
FR53PGM	124	3	113
FTTZS3C	102	3	90
OO5XMGG	182	3	162
PWHSGWA	173	3	150
SOFNWGL	137	3	117
TEW3YOJ	183	3	163
TZN53AJ	115	3	97
XQL5GCP	116	3	109
YD2RNRQ	151	3	117
Z7LNT6J	209	3	180
ZR26PFB	127	3	114
3LGSVP2	140	2	134
6HDNQK6	155	2	139
AQDP2GQ	108	2	103
DYRX2JD	157	2	145
HU6XPVQ	152	2	138
LUBXAS3	93	2	85
O3FCBIU	99	2	88
OQWU5MV	92	2	85
PCUW7DT	146	2	136
Q7F2IFG	172	2	144
T2WOGJC	92	2	85
UAQ35PJ	92	2	85
WM3FE5H	92	2	85
WQELYWL	98	2	88
2SCQ33A	178	1	173
4BCZU7N	139	1	138
6OKZRSR	192	1	176
A5LUAG6	128	1	127
BHE7CQC	160	1	156
BOBCPQJ	144	1	141
C2DD4S2	155	1	153
CCVKV2X	155	1	153
DFOOGQH	73	1	72
EBWJECS	166	1	157
FAZNHSO	157	1	155
FKDYTNJ	143	1	141
H3XP2XU	143	1	141
I4XCM56	149	1	143
IBEF7HG	103	1	100
JI7BGTX	156	1	153
K7Q7TY7	167	1	158
LJ3LDMP	133	1	130
LK2SJZF	161	1	157
N2JCALR	132	1	130
N7UDXMA	161	1	156
OU3ANAO	158	1	155
P7V35HF	145	1	141
QQWAET5	188	1	175
QRXECXA	134	1	130
QWGYUWA	103	1	100
T5NGIG3	172	1	160
UJDQFU5	171	1	159
VE7EYUT	163	1	157
Y3MKEO7	157	1	155
Y4VMOJF	83	1	79
ZEKYHTM	183	1	174
526QX6L	170	0	169
5TFSVVR	99	0	98
7H5YTIX	174	0	172
D2AN633	170	0	169
EJ4RVEV	137	0	137
GMQIM4D	174	0	172
HGKEI2L	148	0	148
HJZLMHD	137	0	137
JTKQEJE	96	0	96
S67GJRQ	126	0	126
S7YDZEU	176	0	173
SQSTEIR	146	0	146
TJQKURZ	146	0	146
VA3OQDU	126	0	126
YPJZRGO	148	0	148
ZHTPY5C	174	0	172
