gene	count	percentage
Crk	504	1.0
rst	504	1.0
Rok	504	1.0
alpha-Spec	504	1.0
sns	504	1.0
Pak	504	1.0
dock	504	1.0
Rac1	504	1.0
Rac2	504	1.0
Rho1	504	1.0
mbc	504	1.0
beta-Spec	504	1.0
rols	448	0.8889
blow	448	0.8889
Arf51F	448	0.8889
kirre	448	0.8889
Arf79F	448	0.8889
siz	448	0.8889
Pak3	448	0.8889
sls	448	0.8889
Rab11	448	0.8889
SCAR	448	0.8889
sqh	448	0.8889
Hem	448	0.8889
WASp	448	0.8889
Arpc1	448	0.8889
hbs	448	0.8889
Arp3	448	0.8889
Vrp1	448	0.8889
drk	448	0.8889
Ced-12	448	0.8889
dia	432	0.8571
Whamy	392	0.7778
pip	368	0.7302
