gene	count	percentage
hbs	139	92.67
Ced-12	139	92.67
kirre	139	92.67
blow	139	92.67
rst	139	92.67
Vrp1	139	92.67
sls	139	92.67
mbc	139	92.67
SCAR	139	92.67
Hem	139	92.67
rols	139	92.67
Rac2	136	90.67
Rho1	136	90.67
Rok	136	90.67
dock	136	90.67
sns	136	90.67
Arf51F	136	90.67
Rac1	136	90.67
Whamy	136	90.67
siz	136	90.67
Pak3	136	90.67
Pak	136	90.67
Arpc1	134	89.33
WASp	134	89.33
sqh	134	89.33
Arp3	134	89.33
Arf79F	134	89.33
Crk	134	89.33
alpha-Spec	134	89.33
drk	134	89.33
dia	134	89.33
beta-Spec	134	89.33
Rab11	134	89.33
pip	119	79.33
