NODEID	targets
Msp300	True
jeb	True
Mhc	True
Stat92E	True
Mlp84B	True
wg	True
ed	True
CG13366	True
cora	True
lmd	True
twi	True
CG42319	True
Alh	True
CG8578	True
His2A	True
Git	True
numb	True
Mp20	True
Vav	True
flr	True
CalpA	True
aop	True
bap	True
ap	True
ens	True
abd-A	True
pnt	True
tmod	True
wupA	True
Sec24CD	True
dnt	True
ara	True
Tl	True
Mlc2	True
Abi	True
bru1	True
tum	True
caup	True
klar	True
br	True
Bsg	True
Gug	True
tin	True
Ubx	True
akirin	True
kon	True
parvin	True
Prm	True
hts	True
polo	True
ball	True
Mical	True
slou	True
tw	True
Ras85D	True
ttk	True
Unc-89	True
msk	True
l(2)efl	True
bt	True
chn	True
vkg	True
cher	True
lbe	True
rhea	True
if	True
tup	True
pyr	True
Zasp52	True
kn	True
tub	True
CG14964	True
CanB2	True
mib2	True
mbl	True
C1GalTA	True
crp	True
CG14260	True
N	True
eya	True
nsl1	True
exd	True
vg	True
org-1	True
Lasp	True
hth	True
Zasp66	True
Act88F	True
SelR	True
mew	True
Wnt5	True
how	True
insc	True
mas	True
sr	True
SmD3	True
Kr	True
Sec23	True
Col4a1	True
bves	True
ebd2	True
Alk	True
Antp	True
Scgbeta	True
ebd1	True
Khc	True
skd	True
E(spl)mdelta-HLH	True
lola	True
sd	True
pav	True
Pkg21D	True
pll	True
Scgdelta	True
fln	True
Sin3A	True
rt	True
DAAM	True
nau	True
Poxm	True
lms	True
ab	True
fliI	True
LamC	True
pcs	True
Tsp	True
wap	True
CG11617	True
Mef2	True
wech	True
lid	True
htl	True
Gyc76C	True
fru	True
Grip	True
Ilk	True
atl	True
CAP	True
Six4	True
CG8878	True
retn	True
drl	True
Cf2	True
Dr	True
Smn	True
nom	True
tn	True
Dys	True
up	True
CG5800	True
salm	True
ast	True
mys	True
CG9849	True
EloB	True
Sply	True
raptor	True
Dg	True
LanB1	True
slow	True
sty	True
C3G	True
ewg	True
Actn	True
Zasp67	True
spz	True
HLH54F	True
Kdm2	True
mask	True
Wnt2	True
coro	True
